Number,Direction,Feet,boundary
240,91.19699924,2058.53,Goshen Rural Fire Protection District
241,2.464751485,1362.27,Goshen Rural Fire Protection District
242,2.464667805,258,Goshen Rural Fire Protection District
243,258.9324074,3.07,Goshen Rural Fire Protection District
244,258.9287464,519.32,Goshen Rural Fire Protection District
245,284.5072678,524.33,Goshen Rural Fire Protection District
246,274.7574843,885.83,Goshen Rural Fire Protection District
247,357.594028,0.04,Goshen Rural Fire Protection District
248,352.0968659,69.07,Goshen Rural Fire Protection District
249,346.7146159,49.09,Goshen Rural Fire Protection District
250,69.0729135,203.79,Goshen Rural Fire Protection District
251,80.88462865,185.6,Goshen Rural Fire Protection District
252,52.25585588,265.75,Goshen Rural Fire Protection District
253,10.33127768,377.28,Goshen Rural Fire Protection District
254,26.55057855,100.49,Goshen Rural Fire Protection District
255,35.57432261,84.68,Goshen Rural Fire Protection District
256,70.06814426,267.27,Goshen Rural Fire Protection District
257,61.13288115,140.29,Goshen Rural Fire Protection District
258,29.38842314,106.24,Goshen Rural Fire Protection District
259,8.2159779,134.6,Goshen Rural Fire Protection District
260,47.94595113,290.31,Goshen Rural Fire Protection District
261,57.50355199,252.09,Goshen Rural Fire Protection District
262,64.74647351,418.76,Goshen Rural Fire Protection District
263,181.959188,565.29,Goshen Rural Fire Protection District
264,203.5032859,334.73,Goshen Rural Fire Protection District
265,182.1342646,798.07,Goshen Rural Fire Protection District
266,59.81776228,332.21,Goshen Rural Fire Protection District
267,20.71014168,255.2,Goshen Rural Fire Protection District
268,72.64601482,85.26,Goshen Rural Fire Protection District
269,22.10936159,87.84,Goshen Rural Fire Protection District
270,78.74224848,273.56,Goshen Rural Fire Protection District
271,183.1108337,117.15,Goshen Rural Fire Protection District
272,135.6092822,78.15,Goshen Rural Fire Protection District
273,91.80495743,433.84,Goshen Rural Fire Protection District
274,111.4262119,66.83,Goshen Rural Fire Protection District
275,166.9753291,138.11,Goshen Rural Fire Protection District
276,158.4396912,156.73,Goshen Rural Fire Protection District
277,153.2356847,90.87,Goshen Rural Fire Protection District
278,171.7354447,103.55,Goshen Rural Fire Protection District
279,144.6887645,145.1,Goshen Rural Fire Protection District
280,122.9694082,99.35,Goshen Rural Fire Protection District
281,116.0753922,117.88,Goshen Rural Fire Protection District
282,115.9065631,87.66,Goshen Rural Fire Protection District
283,108.0603365,109,Goshen Rural Fire Protection District
284,104.4440339,153.54,Goshen Rural Fire Protection District
285,124.8754057,90.62,Goshen Rural Fire Protection District
286,181.7911595,403.84,Goshen Rural Fire Protection District
287,92.25182674,630.89,Goshen Rural Fire Protection District
288,182.8730566,970.42,Goshen Rural Fire Protection District
289,91.06711915,2635.15,Goshen Rural Fire Protection District
290,2.556629493,3401.93,Goshen Rural Fire Protection District
291,297.8725138,670.38,Goshen Rural Fire Protection District
292,272.1493744,266.58,Goshen Rural Fire Protection District
293,259.2667465,271.39,Goshen Rural Fire Protection District
294,249.0263635,194.26,Goshen Rural Fire Protection District
295,249.0728045,171.39,Goshen Rural Fire Protection District
296,265.5080246,137.82,Goshen Rural Fire Protection District
297,293.7425456,363.49,Goshen Rural Fire Protection District
298,306.0686498,269,Goshen Rural Fire Protection District
299,281.7389883,679.65,Goshen Rural Fire Protection District
300,271.8011451,1244.64,Goshen Rural Fire Protection District
301,271.801108,510.78,Goshen Rural Fire Protection District
302,317.0386711,734.22,Goshen Rural Fire Protection District
303,270.6814851,199.93,Goshen Rural Fire Protection District
304,275.6031915,5.9,Goshen Rural Fire Protection District
305,3.01568161,789.62,Goshen Rural Fire Protection District
306,278.10511,607.58,0
307,8.950284888,107.17,City of Eugene
308,352.3291144,139.92,City of Eugene
309,350.8390782,203.29,0
310,353.5025418,127.72,0
311,90.94587215,696.14,0
312,4.518126838,375.72,0
313,359.6977635,950.05,0
314,1.353767403,392.92,0
315,91.12947481,96.49,0
316,1.452202489,251.86,0
317,52.69671489,228.69,0
318,316.9154509,554.79,0
319,290.188056,398.93,0
320,189.3908707,142.04,0
321,320.4847254,1241.55,City of Eugene
322,222.0689199,1.33,City of Eugene
323,235.7046564,586.1,City of Eugene
324,349.8866286,285.41,City of Eugene
325,12.30112932,116.47,City of Eugene
326,12.30125319,209.76,City of Eugene
327,12.3015211,24.88,City of Eugene
328,10.20218929,33.59,City of Eugene
329,3.039730909,30.58,City of Eugene
330,93.14312235,375.91,City of Eugene
331,95.70212995,165.76,0
332,46.69344819,51.41,0
333,13.78465685,425.01,0
334,58.41029021,203.97,City of Eugene
335,41.18587876,228.63,City of Eugene
336,34.05783583,94.22,City of Eugene
337,33.40723954,39.95,City of Eugene
338,33.40633322,37.83,City of Eugene
339,54.17237833,177.15,City of Eugene
340,27.80881707,384.65,City of Eugene
341,69.33454735,506.7,City of Eugene
342,69.29467123,0.75,City of Eugene
343,1.155956453,623.86,City of Eugene
344,1.896910856,3.2,0
345,124.0004072,60.18,0
346,126.9401852,72.74,0
347,131.7761091,181.38,0
348,139.9928599,245.75,0
349,150.1256718,695.3,0
350,148.602799,274.73,0
351,143.711689,159.68,0
352,139.6950329,316.17,0
353,135.0300945,250.43,0
354,14.37659512,132.11,0
355,131.1842464,403.44,0
356,0.153517155,607.22,0
357,91.74836379,2226.85,0
358,359.312188,1566.75,Goshen Rural Fire Protection District
359,74.51221049,213.37,Goshen Rural Fire Protection District
360,52.21926939,480.3,Goshen Rural Fire Protection District
361,0.923229244,1353.23,Goshen Rural Fire Protection District
362,43.92506914,324.66,Goshen Rural Fire Protection District
363,66.88038637,435.67,Goshen Rural Fire Protection District
364,48.32031581,755.19,Goshen Rural Fire Protection District
365,2.121032689,797.22,Goshen Rural Fire Protection District
366,272.0052998,1.47,Goshen Rural Fire Protection District
367,272.0039701,481.71,Goshen Rural Fire Protection District
368,1.481111602,0.47,Goshen Rural Fire Protection District
369,1.495863227,1.07,Goshen Rural Fire Protection District
370,1.488874797,144.4,Goshen Rural Fire Protection District
371,271.5043605,81.21,Goshen Rural Fire Protection District
372,271.5052942,101.6,Goshen Rural Fire Protection District
373,330.9704061,98.99,Goshen Rural Fire Protection District
374,166.3139125,89.71,Goshen Rural Fire Protection District
375,180.6714818,142.8,Goshen Rural Fire Protection District
376,272.0052978,60.02,Goshen Rural Fire Protection District
377,0.668761901,133.86,Goshen Rural Fire Protection District
378,346.2517708,139.57,Goshen Rural Fire Protection District
379,1.722629539,13.02,Goshen Rural Fire Protection District
380,272.0167375,234.12,Goshen Rural Fire Protection District
381,251.0352427,115.42,Goshen Rural Fire Protection District
382,180.0010963,240.06,Goshen Rural Fire Protection District
383,272.327587,215.62,Goshen Rural Fire Protection District
384,1.957463839,164.94,Goshen Rural Fire Protection District
385,272.0144677,244.08,Goshen Rural Fire Protection District
386,1.995174912,50.31,Goshen Rural Fire Protection District
387,92.00756448,193.01,Goshen Rural Fire Protection District
388,92.02849534,57.56,Goshen Rural Fire Protection District
389,71.03400343,320.5,Goshen Rural Fire Protection District
390,91.9981794,243.57,Goshen Rural Fire Protection District
391,2.511407348,14.94,Goshen Rural Fire Protection District
392,11.23521284,275.95,Goshen Rural Fire Protection District
393,1.36611375,455.38,Goshen Rural Fire Protection District
394,91.46532048,390.57,Goshen Rural Fire Protection District
