Point,Coord_X,Coord_Y
162,4301573.242,868569.0837
163,4300735.712,868441.0466
164,4300269.266,867918.7103
165,4300243.032,866919.0545
166,4300216.862,865919.397
167,4299296.253,865874.1585
168,4298882.208,865288.1332
169,4298855.634,864288.4862
170,4298829.064,863288.8392
171,4297872.796,863270.5919
172,4296873.175,863298.1086
173,4296210.82,862968.562
174,4296181.336,861968.9967
175,4296151.997,860969.4272
176,4296122.851,859969.852
177,4295724.949,859362.3858
178,4295144.701,859375.9898
179,4294932.673,860235.8698
180,4294196.1,860760.0482
181,4293196.704,860794.7848
182,4292197.307,860829.5217
183,4291610.464,860422.6555
184,4291577.218,859423.2083
185,4290859.133,859156.0377
186,4290895.405,858206.8258
187,4291894.971,858177.3914
188,4292894.538,858147.957
189,4293894.105,858118.5226
190,4294893.672,858089.0886
191,4295832.634,857832.2575
192,4296783.392,857594.0131
193,4297588.466,857530.124
194,4298457.827,857334.789
195,4299449.362,857278.9491
196,4300019.285,857922.7818
197,4300864.431,857699.9521
198,4301834.109,857530.396
199,4302726.849,857082.2188
200,4303556.113,856667.0561
201,4304488.227,856870.6873
202,4304975.36,856672.2201
203,4305150.625,855901.4134
204,4305572.157,854999.461
205,4306412.043,854551.7726
206,4307409.447,854499.4685
207,4308399.99,854533.8547
208,4309216.356,854807.2835
209,4309968.1,855080.5023
210,4310707.611,854999.831
211,4311437.581,855656.3451
212,4311987.018,856370.4072
213,4312762.971,856603.2493
214,4313654.885,856693.8593
215,4314617.142,856909.0728
216,4314653.126,857908.4252
217,4315536.941,857955.0522
218,4315956.51,857362.2946
219,4316882.752,857683.2175
220,4317226.165,858463.4006
221,4317549.536,859133.4672
222,4318498.4,859018.8094
223,4318489.42,858018.8497
224,4317791.528,857772.9278
225,4316889.911,857643.8143
226,4315963.699,857322.3399
227,4315756.566,856513.9911
228,4314758.793,856580.6939
229,4314018.092,856713.9806
230,4313105.979,856336.6421
231,4312187.313,856025.4321
232,4311385.144,855460.5623
233,4310614.302,854873.5023
234,4310522.951,853903.9859
235,4309833.509,853920.73
236,4309311.149,854402.5302
237,4308477.502,854424.435
238,4307487.493,854407.8465
239,4306491.433,854461.938
240,4305579.329,854786.9413
241,4305131.176,855671.0538
242,4304614.466,856472.789
243,4303707.995,856635.3881
244,4302861.51,856912.854
245,4301988.041,857393.9695
246,4301043.295,857638.8494
247,4300631.226,857016.5696
248,4299985.019,857382.6529
249,4299194.425,857158.3488
250,4298219.131,857330.4098
251,4297332.977,857080.9872
252,4296731.241,856418.5974
253,4296350.316,855564.5397
254,4295941.654,854958.5256
255,4294967.41,854956.5256
256,4294754.795,854143.8819
257,4294062.496,853842.46
258,4293300.896,853621.269
259,4292317.813,853635.6745
260,4293183.943,853235.7152
261,4294146.27,852963.8209
262,4294826.277,852402.2014
263,4295625.218,851800.7923
264,4296477.028,851433.2999
265,4297476.542,851406.21
266,4298476.542,851406.2201
267,4298490.729,850441.5308
268,4298471.482,849441.7175
269,4298046.104,848841.9915
270,4297152.979,849229.0741
271,4296383.628,849867.6759
272,4295976.143,849829.542
273,4295577.433,849293.3415
274,4294654.006,849650.9068
275,4293937.254,850310.6847
276,4293212.719,850810.1106
277,4293479.099,849890.2034
278,4293657.509,848906.247
279,4293939.15,848035.9659
280,4294172.593,847093.7697
281,4294372.65,846113.9856
282,4294603.369,845141.0423
283,4294837.52,844168.8425
284,4295070.892,843196.4551
285,4295303.548,842223.896
286,4295664.437,841293.3415
287,4296249.709,840485.0105
288,4296852.041,839687.0659
289,4297429.671,838870.7671
290,4297617.009,838402.6942
291,4296740.4,838883.897
292,4295967.182,839184.4239
293,4294977.055,839204.4528
294,4294012.243,839266.5755
295,4293012.668,839295.7287
296,4292772.991,838522.6283
297,4292241.032,838107.5151
298,4291441.165,837917.5089
299,4291304.49,837031.8235
300,4290304.963,837062.5636
301,4289305.396,837091.9741
302,4288305.816,837120.9626
303,4287306.203,837148.5371
304,4286306.364,837166.4452
305,4286343.97,836481.189
306,4287343.938,836489.2766
307,4287383.836,835559.8517
308,4287351.432,834560.377
309,4288306.451,834484.7096
310,4288647.348,833833.6319
311,4288616.308,832834.1135
312,4288585.268,831834.5955
313,4287614.915,831833.6352
314,4286935.604,831519.5869
315,4286274.133,831857.3363
316,4285302.621,831856.6129
317,4284303.231,831891.5036
318,4283310.978,831934.2566
319,4282311.581,831968.9803
320,4282056.214,832696.5574
321,4282093.163,833695.8747
322,4282129.898,834695.1995
323,4281873.651,835420.0978
324,4281158.715,835717.2441
325,4281187.368,836716.8333
326,4281763.376,837131.6417
327,4281453.609,837708.5171
328,4280886.629,838174.0673
329,4279887.677,838219.8356
330,4279241.22,837884.5164
331,4278586.96,837478.1175
332,4277587.87,837520.7625
333,4276588.93,837566.4511
